            55 Cnc e     0.737      8.38$\pm$0.39            2.21$\pm$0.15        2439.690                    \citet{McArthur2004}                        \citet{Endl2012}
           KOI-82.02    10.312      3.80$\pm$1.80            1.18$\pm$0.04          31.184                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.03    27.454      0.62$\pm$3.30            0.88$\pm$0.03           8.250                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.04     7.071     -1.58$\pm$2.00            0.58$\pm$0.02          51.315                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.05     5.287      0.41$\pm$1.60            0.47$\pm$0.02          78.407                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-104.01     2.508     10.84$\pm$1.40            3.51$\pm$0.15         214.674                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-108.01    15.965     14.11$\pm$4.70            3.37$\pm$0.09         124.197                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.01    13.571     10.44$\pm$3.20            2.50$\pm$0.32          84.462                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.02    43.844     11.17$\pm$5.80            2.56$\pm$0.33          15.645                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.03     6.165      0.15$\pm$2.80            0.82$\pm$0.11         239.077                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.04    23.980     -6.39$\pm$7.00            0.95$\pm$0.13          43.146                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-122.01    11.523     13.00$\pm$2.90            3.42$\pm$0.09         182.708                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-123.01     6.482      1.30$\pm$5.40            2.37$\pm$0.07         444.879                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-123.02    21.223      2.22$\pm$7.80            2.52$\pm$0.07          94.934                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-148.01     4.778      3.94$\pm$2.10            1.88$\pm$0.10         168.932                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-148.02     9.674     14.61$\pm$2.30            2.71$\pm$0.14         225.109                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-148.03    42.896      7.93$\pm$4.60            2.04$\pm$0.11          13.545                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-153.01     8.925     -4.60$\pm$6.20            2.19$\pm$0.06          50.981                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-153.02     4.754      7.10$\pm$3.30            1.82$\pm$0.05          63.986                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-244.02     6.239      9.60$\pm$4.20            2.71$\pm$0.05         667.269                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-245.01    39.792      1.87$\pm$9.08            1.94$\pm$0.06           7.710                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-245.02    21.302      3.35$\pm$4.00            0.75$\pm$0.03          16.291                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-245.03    13.367      2.78$\pm$3.70            0.32$\pm$0.02          37.373                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-246.01     5.399      5.97$\pm$1.70            2.33$\pm$0.02         375.530                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-246.02     9.605      2.18$\pm$3.50            1.00$\pm$0.02         220.199                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-261.01    16.238      8.46$\pm$3.40            2.67$\pm$0.22          73.950                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-283.01    16.092     16.13$\pm$3.50            2.41$\pm$0.20          71.656                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-283.02    25.517      8.25$\pm$5.90            0.84$\pm$0.07          28.891                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-292.01     2.587      3.51$\pm$1.90            1.48$\pm$0.13         851.551                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-299.01     1.542      3.55$\pm$1.60            1.99$\pm$0.22        1581.816                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-305.01     4.604      6.15$\pm$1.30            1.48$\pm$0.08          90.372                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-321.01     2.426      6.35$\pm$1.40            1.43$\pm$0.03         713.204                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-321.02     4.623      2.71$\pm$1.80            0.85$\pm$0.03         291.503                     \citet{Borucki2011}                       \citet{Marcy2013}
         KOI-1442.01     0.669      0.06$\pm$1.20            1.07$\pm$0.02        3645.770                     \citet{Borucki2011}                       \citet{Marcy2013}
         KOI-1612.01     2.465      0.48$\pm$3.20            0.82$\pm$0.03        1691.964                     \citet{Borucki2011}                       \citet{Marcy2013}
         KOI-1925.01    68.958      2.69$\pm$6.20            1.19$\pm$0.03           6.165                     \citet{Borucki2011}                       \citet{Marcy2013}
